subject_id,person,illuminant,wb_cell,condition_code,include_in_eval,path_noflash,path_flash,path_face_landmarks,zip_path,zip_stem
Parker_D65_E2,Parker,D65,E,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-E2Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-E2Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-E2Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Parker P2/D65/Parker-D65-E2Torch.zip,Parker-D65-E2Torch
Parker_D65_E4,Parker,D65,E,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-E4Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-E4Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-E4Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Parker P2/D65/Parker-D65-E4Torch.zip,Parker-D65-E4Torch
Woojae_D65_A1,Woojae,D65,A,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Woojae-D65-A1Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Woojae-D65-A1Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Woojae-D65-A1Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Woojae P4/D65/Woojae-D65-A1Torch.zip,Woojae-D65-A1Torch
Woojae_D65_B2,Woojae,D65,B,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Woojae-D65-B2Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Woojae-D65-B2Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Woojae-D65-B2Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Woojae P4/D65/Woojae-D65-B2Torch.zip,Woojae-D65-B2Torch
Woojae_D65_B3,Woojae,D65,B,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Woojae-D65-B3Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Woojae-D65-B3Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Woojae-D65-B3Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Woojae P4/D65/Woojae-D65-B3Torch.zip,Woojae-D65-B3Torch
Woojae_D65_C2,Woojae,D65,C,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Woojae-D65-C2Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Woojae-D65-C2Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Woojae-D65-C2Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Woojae P4/D65/Woojae-D65-C2Torch.zip,Woojae-D65-C2Torch
Woojae_D65_C4,Woojae,D65,C,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Woojae-D65-C4Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Woojae-D65-C4Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Woojae-D65-C4Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Woojae P4/D65/Woojae-D65-C4Torch.zip,Woojae-D65-C4Torch
Woojae_D65_D2,Woojae,D65,D,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Woojae-D65-D2Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Woojae-D65-D2Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Woojae-D65-D2Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Woojae P4/D65/Woojae-D65-D2Torch.zip,Woojae-D65-D2Torch
Woojae_D65_D4,Woojae,D65,D,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Woojae-D65-D4Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Woojae-D65-D4Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Woojae-D65-D4Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Woojae P4/D65/Woojae-D65-D4Torch.zip,Woojae-D65-D4Torch
Woojae_D65_E1,Woojae,D65,E,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Woojae-D65-E1Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Woojae-D65-E1Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Woojae-D65-E1Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Woojae P4/D65/Woojae-D65-E1Torch.zip,Woojae-D65-E1Torch
Woojae_D65_E2,Woojae,D65,E,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Woojae-D65-E2Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Woojae-D65-E2Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Woojae-D65-E2Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Woojae P4/D65/Woojae-D65-E2Torch.zip,Woojae-D65-E2Torch
Woojae_D65_E3,Woojae,D65,E,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Woojae-D65-E3Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Woojae-D65-E3Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Woojae-D65-E3Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Woojae P4/D65/Woojae-D65-E3Torch.zip,Woojae-D65-E3Torch
Woojae_D65_A2,Woojae,D65,A,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Woojae-D65A2Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Woojae-D65A2Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Woojae-D65A2Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Woojae P4/D65/Woojae-D65A2Torch.zip,Woojae-D65A2Torch
Woojae_D65_B4,Woojae,D65,B,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Woojae-D65B4Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Woojae-D65B4Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Woojae-D65B4Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Woojae P4/D65/Woojae-D65B4Torch.zip,Woojae-D65B4Torch
